TIME,GEO,UNIT,COICOP,Value,Flag and Footnotes
1997/01,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,2.2,
1997/01,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,:,
1997/01,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,:,
1997/01,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,2,
1997/01,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,2.2,
1997/01,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,2.2,
1997/01,Belgium,Annual rate of change,All-items HICP,2.1,
1997/01,Bulgaria,Annual rate of change,All-items HICP,:,
1997/01,Czechia,Annual rate of change,All-items HICP,7.2,
1997/01,Denmark,Annual rate of change,All-items HICP,2.4,
1997/01,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,1.9,
1997/01,Estonia,Annual rate of change,All-items HICP,10.9,
1997/01,Ireland,Annual rate of change,All-items HICP,1.8,
1997/01,Greece,Annual rate of change,All-items HICP,6.7,
1997/01,Spain,Annual rate of change,All-items HICP,2.8,
1997/01,France,Annual rate of change,All-items HICP,1.8,
1997/01,Croatia,Annual rate of change,All-items HICP,:,
1997/01,Italy,Annual rate of change,All-items HICP,2.7,
1997/01,Cyprus,Annual rate of change,All-items HICP,2,
1997/01,Latvia,Annual rate of change,All-items HICP,11.2,
1997/01,Lithuania,Annual rate of change,All-items HICP,15.4,
1997/01,Luxembourg,Annual rate of change,All-items HICP,1.3,
1997/01,Hungary,Annual rate of change,All-items HICP,19.1,d
1997/01,Malta,Annual rate of change,All-items HICP,4.2,
1997/01,Netherlands,Annual rate of change,All-items HICP,1.7,
1997/01,Austria,Annual rate of change,All-items HICP,1.2,
1997/01,Poland,Annual rate of change,All-items HICP,17.7,d
1997/01,Portugal,Annual rate of change,All-items HICP,2.8,
1997/01,Romania,Annual rate of change,All-items HICP,76.4,
1997/01,Slovenia,Annual rate of change,All-items HICP,8.9,
1997/01,Slovakia,Annual rate of change,All-items HICP,5.7,
1997/01,Finland,Annual rate of change,All-items HICP,0.9,
1997/01,Sweden,Annual rate of change,All-items HICP,1.4,
1997/01,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",Annual rate of change,All-items HICP,2.2,
1997/01,Iceland,Annual rate of change,All-items HICP,2,
1997/01,Norway,Annual rate of change,All-items HICP,3.2,
1997/01,Switzerland,Annual rate of change,All-items HICP,:,
1997/01,United Kingdom,Annual rate of change,All-items HICP,2.1,
1997/01,North Macedonia,Annual rate of change,All-items HICP,:,
1997/01,Serbia,Annual rate of change,All-items HICP,:,
1997/01,Turkey,Annual rate of change,All-items HICP,76.7,d
1997/01,United States,Annual rate of change,All-items HICP,:,
1997/02,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,2,
1997/02,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,:,
1997/02,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,:,
1997/02,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,1.8,
1997/02,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,2,
1997/02,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,2,
1997/02,Belgium,Annual rate of change,All-items HICP,1.9,
1997/02,Bulgaria,Annual rate of change,All-items HICP,:,
1997/02,Czechia,Annual rate of change,All-items HICP,7,
1997/02,Denmark,Annual rate of change,All-items HICP,2.1,
1997/02,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,1.6,
1997/02,Estonia,Annual rate of change,All-items HICP,8.1,
1997/02,Ireland,Annual rate of change,All-items HICP,1.7,
1997/02,Greece,Annual rate of change,All-items HICP,6.4,
1997/02,Spain,Annual rate of change,All-items HICP,2.5,
1997/02,France,Annual rate of change,All-items HICP,1.7,
1997/02,Croatia,Annual rate of change,All-items HICP,:,
1997/02,Italy,Annual rate of change,All-items HICP,2.4,
1997/02,Cyprus,Annual rate of change,All-items HICP,3.1,
1997/02,Latvia,Annual rate of change,All-items HICP,9.8,
1997/02,Lithuania,Annual rate of change,All-items HICP,13.4,
1997/02,Luxembourg,Annual rate of change,All-items HICP,1.5,
1997/02,Hungary,Annual rate of change,All-items HICP,18.8,d
1997/02,Malta,Annual rate of change,All-items HICP,4.2,
1997/02,Netherlands,Annual rate of change,All-items HICP,1.4,
1997/02,Austria,Annual rate of change,All-items HICP,1.4,
1997/02,Poland,Annual rate of change,All-items HICP,17.4,d
1997/02,Portugal,Annual rate of change,All-items HICP,2.4,
1997/02,Romania,Annual rate of change,All-items HICP,105.8,
1997/02,Slovenia,Annual rate of change,All-items HICP,8.4,
1997/02,Slovakia,Annual rate of change,All-items HICP,6,
1997/02,Finland,Annual rate of change,All-items HICP,0.6,
1997/02,Sweden,Annual rate of change,All-items HICP,1.1,
1997/02,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",Annual rate of change,All-items HICP,2,
1997/02,Iceland,Annual rate of change,All-items HICP,1.9,
1997/02,Norway,Annual rate of change,All-items HICP,3.3,
1997/02,Switzerland,Annual rate of change,All-items HICP,:,
1997/02,United Kingdom,Annual rate of change,All-items HICP,1.9,
1997/02,North Macedonia,Annual rate of change,All-items HICP,:,
1997/02,Serbia,Annual rate of change,All-items HICP,:,
1997/02,Turkey,Annual rate of change,All-items HICP,78.4,d
1997/02,United States,Annual rate of change,All-items HICP,:,
1997/03,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,1.7,
1997/03,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,:,
1997/03,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,:,
1997/03,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,1.6,
1997/03,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,1.7,
1997/03,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,1.7,
1997/03,Belgium,Annual rate of change,All-items HICP,1.3,
1997/03,Bulgaria,Annual rate of change,All-items HICP,:,
1997/03,Czechia,Annual rate of change,All-items HICP,6.6,
1997/03,Denmark,Annual rate of change,All-items HICP,1.8,
1997/03,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,1.3,
1997/03,Estonia,Annual rate of change,All-items HICP,7.3,
1997/03,Ireland,Annual rate of change,All-items HICP,1.3,
1997/03,Greece,Annual rate of change,All-items HICP,5.9,
1997/03,Spain,Annual rate of change,All-items HICP,2.2,
1997/03,France,Annual rate of change,All-items HICP,1.1,
1997/03,Croatia,Annual rate of change,All-items HICP,:,
1997/03,Italy,Annual rate of change,All-items HICP,2.2,
1997/03,Cyprus,Annual rate of change,All-items HICP,3.4,
1997/03,Latvia,Annual rate of change,All-items HICP,8.5,
1997/03,Lithuania,Annual rate of change,All-items HICP,10.7,
1997/03,Luxembourg,Annual rate of change,All-items HICP,1.3,
1997/03,Hungary,Annual rate of change,All-items HICP,19.1,d
1997/03,Malta,Annual rate of change,All-items HICP,4,
1997/03,Netherlands,Annual rate of change,All-items HICP,1.2,
1997/03,Austria,Annual rate of change,All-items HICP,1.2,
1997/03,Poland,Annual rate of change,All-items HICP,16.5,d
1997/03,Portugal,Annual rate of change,All-items HICP,2.3,
1997/03,Romania,Annual rate of change,All-items HICP,164.4,
